Open Time,Type,Lots,Symbol,Open Price,Close Time,Close Price,Commission,Swap,Net Pips,Net Profit,Max Profit,Max Pips,Max Loss,Max Loss Pips,Magic Number,Comment,Holding Time (Hours),Holding Time
17/07/2026 19:04:24,buy,0.50,AUDNZD,1.19473,23/07/2026 05:08:57,1.20528,-2.50,2.23,105.50,306.70,320.75,110.30,-36.99,-12.00,0,CopyFrom38663B,130.08,5.42days
20/07/2026 07:04:10,buy,0.50,AUDNZD,1.19400,23/07/2026 05:08:56,1.20528,-2.50,1.86,112.80,327.57,341.62,117.60,-15.93,-4.70,0,CopyFrom38663B,70.08,2.92days
20/07/2026 07:02:36,buy,0.50,AUDNZD,1.19403,23/07/2026 05:08:56,1.20528,-2.50,1.86,112.50,326.70,340.75,117.30,-16.81,-5.00,0,CopyFrom38663B,70.11,2.92days
14/07/2026 04:04:47,buy,0.50,AUDNZD,1.19757,22/07/2026 21:07:07,1.20258,-2.50,2.97,50.10,146.11,150.54,51.60,-118.51,-40.40,0,CopyFrom38663B,209.04,8.71days
13/07/2026 12:12:14,buy,0.50,AUDNZD,1.20082,21/07/2026 19:03:47,1.20163,-2.50,2.97,8.10,24.09,60.74,22.00,-213.56,-72.90,0,CopyFrom38663B,198.86,8.29days
09/07/2026 19:09:59,buy,0.50,AUDNZD,1.20584,21/07/2026 19:03:47,1.20163,-2.50,3.34,-42.10,-121.88,15.98,6.30,-360.57,-123.10,0,CopyFrom38663B,287.90,12.00days
13/07/2026 12:12:15,buy,0.50,AUDNZD,1.20082,21/07/2026 19:03:46,1.20163,-2.50,2.97,8.10,24.09,60.74,22.00,-213.56,-72.90,0,CopyFrom38663B,198.86,8.29days
13/07/2026 12:12:14,buy,0.50,AUDNZD,1.20092,21/07/2026 19:03:46,1.20163,-2.50,2.97,7.10,21.17,57.86,21.00,-216.49,-73.90,0,CopyFrom38663B,198.86,8.29days
13/07/2026 16:05:21,buy,0.50,AUDNZD,1.20014,21/07/2026 19:03:45,1.20163,-2.50,2.97,14.90,43.91,80.28,28.80,-193.59,-66.10,0,CopyFrom38663B,194.97,8.12days
14/07/2026 04:03:21,buy,0.50,AUDNZD,1.19761,21/07/2026 16:03:28,1.20160,-2.50,2.60,39.90,116.55,126.56,44.30,-119.68,-40.80,0,CopyFrom38663B,180.00,7.50days
13/07/2026 12:12:15,buy,0.50,AUDNZD,1.20093,21/07/2026 16:03:28,1.20160,-2.50,2.97,6.70,20.03,57.57,20.90,-216.79,-74.00,0,CopyFrom38663B,195.85,8.16days
14/07/2026 04:08:45,buy,0.50,AUDNZD,1.19749,21/07/2026 15:03:54,1.19998,-2.50,2.60,24.90,72.89,130.05,45.50,-116.16,-39.60,0,CopyFrom38663B,178.92,7.45days
16/07/2026 09:01:16,buy,0.50,AUDNZD,1.19517,20/07/2026 17:00:27,1.19839,-2.50,0.74,32.20,92.41,92.41,32.20,-46.28,-15.20,0,CopyFrom38663B,103.99,4.33days
10/07/2026 05:04:12,buy,0.50,AUDNZD,1.20158,20/07/2026 17:00:27,1.19840,-2.50,2.97,-31.80,-92.53,138.44,48.90,-231.82,-79.30,0,CopyFrom38663B,251.94,10.50days
01/07/2026 08:02:21,buy,0.50,AUDNZD,1.21475,06/07/2026 02:08:30,1.21685,-2.50,4.29,21.00,61.65,61.65,21.00,-46.60,-16.60,0,CopyFrom38663B,114.10,4.75days
24/06/2026 23:22:47,buy,0.50,AUDCAD,0.98200,30/06/2026 15:03:06,0.98048,-2.50,6.27,-15.20,-49.61,32.53,9.10,-188.36,-54.50,0,CopyFrom38663B,135.67,5.65days
22/06/2026 21:14:50,sell,0.50,AUDNZD,1.22534,26/06/2026 13:12:39,1.22094,-2.50,-20.28,44.00,101.60,151.86,55.70,-22.48,-6.00,0,CopyFrom38663S,87.96,3.67days
22/06/2026 22:12:07,sell,0.50,AUDNZD,1.22555,26/06/2026 06:35:36,1.22139,-2.50,-20.28,41.60,94.41,157.81,57.80,-16.48,-3.70,0,CopyFrom38663S,80.39,3.35days
22/06/2026 20:16:32,sell,0.50,AUDNZD,1.22466,23/06/2026 20:09:35,1.22060,-2.50,-3.41,40.60,109.15,130.93,48.20,-41.92,-12.80,0,CopyFrom38663S,23.88,23.88hrs
11/06/2026 01:22:56,buy,0.50,AUDCAD,0.97526,11/06/2026 23:13:51,0.98383,-2.50,0.00,85.70,304.48,309.53,87.10,-26.87,-6.80,0,CopyFrom38663B,21.85,21.85hrs
11/06/2026 01:02:12,buy,0.50,AUDCAD,0.97550,11/06/2026 23:13:51,0.98383,-2.50,0.00,83.30,295.88,300.93,84.70,-35.48,-9.20,0,CopyFrom38663B,22.19,22.19hrs
10/06/2026 23:16:24,buy,0.50,AUDCAD,0.97637,11/06/2026 23:13:51,0.98383,-2.50,2.80,74.60,267.52,272.57,76.00,-63.87,-17.90,0,CopyFrom38663B,23.96,23.96hrs
29/05/2026 05:08:12,buy,0.50,AUDNZD,1.20322,02/06/2026 19:55:54,1.21147,-2.50,0.57,82.50,242.44,249.65,84.90,-175.16,-57.70,1,Dragon Wave_EZ2,110.80,4.62days
29/05/2026 05:09:27,buy,0.50,AUDNZD,1.20329,02/06/2026 19:55:53,1.21146,-2.50,0.57,81.70,240.07,247.57,84.20,-177.25,-58.40,1,Dragon Wave_CZ2,110.77,4.62days
29/05/2026 05:08:14,buy,0.50,AUDNZD,1.20322,02/06/2026 19:55:53,1.21146,-2.50,0.57,82.40,242.14,249.65,84.90,-175.16,-57.70,1,Dragon Wave_LZ2,110.79,4.62days
29/05/2026 05:08:13,buy,0.50,AUDNZD,1.20322,02/06/2026 19:55:53,1.21147,-2.50,0.57,82.50,242.44,249.65,84.90,-175.16,-57.70,1,Dragon Wave_JZ2,110.79,4.62days
29/05/2026 12:06:49,buy,0.50,AUDNZD,1.19948,02/06/2026 19:55:52,1.21148,-2.50,0.57,120.00,353.51,360.47,122.30,-63.24,-20.30,1,Dragon Wave_GZ2,103.82,4.33days
