Open Time,Type,Lots,Symbol,Open Price,Close Time,Close Price,Commission,Swap,Net Pips,Net Profit,Max Profit,Max Pips,Max Loss,Max Loss Pips,Magic Number,Comment,Holding Time (Hours),Holding Time
14/07/2026 06:16:15,buy,0.13,AUDNZD,1.19597,14/07/2026 19:12:32,1.20084,-0.65,0.00,48.70,36.11,38.38,51.60,-5.40,-6.30,1566346504,Dragon Wave_OZ4,12.94,12.94hrs
14/07/2026 06:15:13,buy,0.13,AUDNZD,1.19605,14/07/2026 19:12:29,1.20083,-0.65,0.00,47.80,35.42,37.77,50.80,-6.00,-7.10,1566346437,Dragon Wave_CZ4,12.95,12.95hrs
09/07/2026 15:46:51,buy,0.13,AUDNZD,1.20721,14/07/2026 17:55:58,1.20067,-0.65,0.20,-65.40,-49.92,1.52,2.90,-89.87,-118.70,1566014544,Dragon Wave_FZ4[tp],122.15,5.09days
14/07/2026 02:45:01,buy,0.13,AUDNZD,1.20054,14/07/2026 17:52:33,1.20041,-0.65,0.00,-1.30,-1.63,0.00,0.00,-39.82,-52.00,1566322663,Dragon Wave_DZ4[tp],15.13,15.13hrs
14/07/2026 02:15:49,sell,0.13,NZDCHF,0.46897,14/07/2026 17:17:27,0.46941,-0.65,0.00,-4.40,-7.74,0.00,0.00,-70.66,-43.70,1566321208,Dragon Wave_FZ4,15.03,15.03hrs
09/07/2026 15:45:04,buy,0.13,AUDNZD,1.20739,10/07/2026 17:01:50,1.20511,-0.65,0.00,-22.80,-17.74,0.17,1.10,-45.10,-59.10,1566014321,Dragon Wave_AZ4,25.28,1.05days
07/07/2026 02:16:41,sell,0.13,GBPCAD,1.90323,07/07/2026 18:17:10,1.89823,-0.65,0.00,50.00,45.15,45.15,50.00,-11.72,-12.10,1565659388,Dragon Wave_GZ4,16.01,16.01hrs
06/07/2026 22:01:20,sell,0.13,GBPCAD,1.90315,07/07/2026 17:04:57,1.89870,-0.65,-1.36,44.50,38.71,38.71,44.50,-13.81,-12.90,1565652743,Dragon Wave_NZ4,19.06,19.06hrs
06/07/2026 21:31:09,sell,0.13,GBPCAD,1.90244,07/07/2026 16:54:55,1.89972,-0.65,-1.36,27.20,22.89,22.89,27.20,-20.30,-20.00,1565650491,Dragon Wave_FZ4[tp],19.40,19.40hrs
30/06/2026 05:30:57,buy,0.13,AUDUSD,0.68670,30/06/2026 12:15:58,0.68847,-0.65,0.00,17.70,22.36,22.49,17.80,-2.34,-1.30,1565036039,Dragon Wave_GZ4,6.75,6.75hrs
