Open Time,Type,Lots,Symbol,Open Price,Close Time,Close Price,Commission,Swap,Net Pips,Net Profit,Max Profit,Max Pips,Max Loss,Max Loss Pips,Magic Number,Comment,Holding Time (Hours),Holding Time
01/01/1970 00:00:00,balance,0.00,,0.00000,,0.00000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,0.00,0.00hrs
03/03/2026 14:04:15,sell,0.02,XAUUSD,5144.54000,03/03/2026 14:30:37,5210.91000,0.00,0.00,-663.70,-132.74,0.00,0.00,-132.74,-663.70,168222,so: 12.5%/2.6/20.6,0.44,0.44hrs
03/03/2026 14:04:21,sell,0.03,XAUUSD,5147.81000,03/03/2026 14:27:49,5208.07000,0.00,0.00,-602.60,-180.78,0.00,0.00,-180.78,-602.60,168222,so: 16.0%/8.2/51.5,0.39,0.39hrs
03/03/2026 14:05:02,sell,0.08,XAUUSD,5156.87000,03/03/2026 14:27:41,5204.34000,0.00,0.00,-474.70,-379.76,0.00,0.00,-379.76,-474.70,168222,so: 19.8%/36.8/185.5,0.38,0.38hrs
03/03/2026 14:04:27,sell,0.05,XAUUSD,5151.46000,03/03/2026 14:27:41,5206.32000,0.00,0.00,-548.60,-274.30,0.00,0.00,-274.30,-548.60,168222,so: 16.5%/17.0/103.0,0.39,0.39hrs
03/03/2026 14:05:18,sell,0.13,XAUUSD,5162.07000,03/03/2026 14:26:50,5202.84000,0.00,0.00,-407.70,-530.01,35.23,27.10,-530.01,-407.70,168222,so: 20.0%/63.8/319.7,0.36,0.36hrs
03/03/2026 14:09:05,sell,1.37,XAUUSD,5176.79000,03/03/2026 14:26:44,5202.18000,0.00,0.00,-253.90,-3478.43,0.00,0.00,-3478.43,-253.90,168222,so: 2.2%/84.3/3755.4,0.29,0.29hrs
03/03/2026 14:07:33,sell,0.86,XAUUSD,5174.82000,03/03/2026 14:26:44,5202.18000,0.00,0.00,-273.60,-2352.96,0.00,0.00,-2352.96,-273.60,168222,so: 3.6%/84.3/2337.0,0.32,0.32hrs
03/03/2026 14:07:27,sell,0.54,XAUUSD,5172.62000,03/03/2026 14:26:44,5202.18000,0.00,0.00,-295.60,-1596.24,0.00,0.00,-1596.24,-295.60,168222,so: 5.8%/84.3/1446.9,0.32,0.32hrs
03/03/2026 14:06:43,sell,0.34,XAUUSD,5170.78000,03/03/2026 14:26:44,5202.18000,0.00,0.00,-314.00,-1067.60,0.00,0.00,-1067.60,-314.00,168222,so: 9.5%/84.3/888.3,0.33,0.33hrs
03/03/2026 14:06:20,sell,0.21,XAUUSD,5166.17000,03/03/2026 14:26:44,5202.18000,0.00,0.00,-360.10,-756.21,0.00,0.00,-756.21,-360.10,168222,so: 15.7%/84.3/536.7,0.34,0.34hrs
03/03/2026 14:09:53,sell,2.20,XAUUSD,5179.37000,03/03/2026 14:25:10,5199.73000,0.00,0.00,-203.60,-4479.20,0.00,0.00,-4479.20,-203.60,168222,so: 16.1%/973.6/6034.4,0.25,0.25hrs
03/03/2026 14:11:42,sell,5.63,XAUUSD,5184.31000,03/03/2026 14:24:01,5197.32000,0.00,0.00,-130.10,-7324.63,1002.14,17.80,-7324.63,-130.10,168222,so: 17.7%/2744.7/15519.9,0.21,0.21hrs
03/03/2026 14:10:16,sell,3.52,XAUUSD,5181.84000,03/03/2026 14:24:01,5198.36000,0.00,0.00,-165.20,-5815.04,0.00,0.00,-5815.04,-165.20,168222,so: 18.3%/1772.3/9682.4,0.23,0.23hrs
03/03/2026 13:00:29,sell,0.08,XAUUSD,5255.64000,03/03/2026 13:04:15,5255.74000,0.00,0.00,-1.00,-0.80,0.00,0.00,-52.80,-66.00,168222,VM1-13_SMA_H1_1K_SELL,0.06,0.06hrs
03/03/2026 13:00:09,sell,0.02,XAUUSD,5245.90000,03/03/2026 13:04:11,5255.88000,0.00,0.00,-99.80,-19.96,0.00,0.00,-19.96,-163.40,168222,VM1-13_SMA_H1_1K_SELL,0.07,0.07hrs
03/03/2026 13:02:40,sell,0.13,XAUUSD,5261.61000,03/03/2026 13:04:08,5254.85000,0.00,0.00,67.60,87.88,87.88,67.60,-8.19,-6.30,168222,VM1-13_SMA_H1_1K_SELL,0.02,0.02hrs
03/03/2026 13:00:16,sell,0.05,XAUUSD,5249.90000,03/03/2026 13:04:05,5255.04000,0.00,0.00,-51.40,-25.70,0.00,0.00,-61.70,-123.40,168222,VM1-13_SMA_H1_1K_SELL,0.06,0.06hrs
03/03/2026 13:00:00,sell,0.02,XAUUSD,5245.59000,03/03/2026 13:04:02,5254.17000,0.00,0.00,-85.80,-17.16,0.00,0.00,-17.16,-166.50,168222,VM1-13_SMA_H1_1K_SELL,0.07,0.07hrs
